Date,Adjusted Close,Close,High,Low,Open,Volume
2022-11-16,7993.869140625,7996.0,8060.0,7942.0,8022.0,718489
2022-11-17,8033.85791015625,8036.0,8074.0,7958.0,8020.0,296251
2022-11-18,8119.8349609375,8122.0,8156.0,8030.0,8066.0,463213
2022-11-21,8163.8232421875,8166.0,8166.0,8044.0,8086.0,446576
2022-11-22,8161.82421875,8164.0,8200.0,8128.0,8170.0,302587
2022-11-23,8229.8056640625,8232.0,8264.0,8140.0,8166.0,258015
2022-11-24,8077.8466796875,8080.0,8250.0,8054.0,8242.0,342524
2022-11-25,8113.83740234375,8116.0,8176.0,8052.0,8088.0,264847
2022-11-28,8135.83154296875,8138.0,8186.0,8044.0,8096.0,376563
2022-11-29,8041.85595703125,8044.0,8166.0,8030.0,8146.0,637323
2022-11-30,8245.802734375,8248.0,8318.0,8044.0,8094.0,902872
2022-12-01,8267.796875,8270.0,8362.0,8252.0,8332.0,588110
2022-12-02,8269.794921875,8272.0,8410.0,8266.0,8272.0,547374
2022-12-05,7977.873046875,7980.0,8276.0,7980.0,8262.0,609200
2022-12-06,7847.908203125,7850.0,8058.0,7850.0,8026.0,555836
2022-12-07,7885.8974609375,7888.0,7902.0,7828.0,7840.0,371247
2022-12-08,7378.03271484375,7380.0,7800.0,7366.0,7776.0,1082759
2022-12-09,7404.0263671875,7406.0,7434.0,7306.0,7380.0,778074
2022-12-12,7623.9677734375,7626.0,7766.0,7536.0,7700.0,1381736
2022-12-13,7605.97216796875,7608.0,7668.0,7438.0,7630.0,1129142
2022-12-14,7611.97119140625,7614.0,7614.0,7488.0,7570.0,710143
2022-12-15,7466.009765625,7468.0,7582.0,7436.0,7538.0,595533
2022-12-16,7338.0439453125,7340.0,7464.0,7258.0,7446.0,1549565
2022-12-19,7132.0986328125,7134.0,7328.0,7134.0,7288.0,484631
2022-12-20,7102.10693359375,7104.0,7172.0,7052.0,7086.0,465770
2022-12-21,7152.09326171875,7154.0,7156.0,7064.0,7112.0,705477
2022-12-22,7186.083984375,7188.0,7246.0,7146.0,7182.0,533928
2022-12-23,7128.099609375,7130.0,7206.0,7106.0,7164.0,141614
2022-12-28,7126.099609375,7128.0,7180.0,7114.0,7166.0,490323
2022-12-29,7210.07763671875,7212.0,7212.0,7062.0,7102.0,457006
2022-12-30,7134.09814453125,7136.0,7230.0,7136.0,7190.0,226505
2023-01-03,7144.095703125,7146.0,7316.0,7136.0,7150.0,1077722
2023-01-04,7172.087890625,7174.0,7240.0,7134.0,7186.0,957324
2023-01-05,7124.10107421875,7126.0,7236.0,7120.0,7190.0,579331
2023-01-06,7158.09228515625,7160.0,7180.0,7094.0,7122.0,640313
2023-01-09,7284.0576171875,7286.0,7302.0,7168.0,7252.0,919276
2023-01-10,7278.0595703125,7280.0,7318.0,7200.0,7220.0,764024
2023-01-11,7364.03662109375,7366.0,7472.0,7242.0,7250.0,996388
2023-01-12,7370.03564453125,7372.0,7442.0,7342.0,7344.0,836585
2023-01-13,7442.01611328125,7444.0,7520.0,7396.0,7416.0,496843
2023-01-16,7482.005859375,7484.0,7560.0,7446.6328125,7470.0,562955
2023-01-17,7458.01171875,7460.0,7518.0,7414.0,7478.0,1095707
2023-01-18,7567.982421875,7570.0,7586.0,7460.0,7488.0,913407
2023-01-19,7496.0009765625,7498.0,7608.0,7466.0,7564.0,977754
2023-01-20,7488.00390625,7490.0,7544.0,7450.0,7514.0,900639
2023-01-23,7326.04736328125,7328.0,7562.0,7310.0,7502.0,1070813
2023-01-24,7262.06396484375,7264.0,7374.0,7256.0,7360.0,1312243
2023-01-25,7294.0546875,7296.0,7296.0,7140.0,7288.0,1064852
2023-01-26,7322.0478515625,7324.0,7366.0,7234.0,7362.0,666550
2023-01-27,7384.03125,7386.0,7386.0,7234.0,7340.0,694728
2023-01-30,7386.03076171875,7388.0,7440.0,7296.0,7298.0,922324
2023-01-31,7404.0263671875,7406.0,7414.0,7340.6240234375,7376.0,717564
2023-02-01,7406.025390625,7408.0,7502.0,7370.0,7402.0,512207
2023-02-02,7507.998046875,7510.0,7532.0,7396.0,7434.0,605383
2023-02-03,7641.96240234375,7644.0,7644.0,7468.0,7490.0,508904
2023-02-06,7625.966796875,7628.0,7654.0,7590.0,7602.0,505433
2023-02-07,7561.98388671875,7564.0,7628.0,7506.0,7612.0,457967
2023-02-08,7591.9755859375,7594.0,7626.0,7570.0,7574.0,563340
2023-02-09,7653.958984375,7656.0,7778.0,7608.0,7634.0,828897
2023-02-10,7621.96826171875,7624.0,7678.0,7594.0,7642.0,585085
2023-02-13,7629.9658203125,7632.0,7674.0,7568.0,7638.0,673791
2023-02-14,7655.958984375,7658.0,7726.0,7646.0,7652.0,585257
2023-02-15,7735.9375,7738.0,7756.0,7634.0,7650.0,369653
2023-02-16,7693.94921875,7696.0,7848.0,7652.0,7774.0,546823
2023-02-17,7611.97119140625,7614.0,7676.0,7590.0,7660.0,732900
2023-02-20,7585.9775390625,7588.0,7650.0,7572.0,7642.0,479873
2023-02-21,7569.98193359375,7572.0,7600.0,7500.0,7544.0,1088148
2023-02-22,7498.0009765625,7500.0,7594.0,7470.0,7568.0,1049450
2023-02-23,7498.0009765625,7500.0,7532.0,7480.0,7506.0,575597
2023-02-24,7535.99072265625,7538.0,7558.0,7478.0,7510.0,571727
2023-02-27,7515.99658203125,7518.0,7626.0,7484.0,7530.0,558888
2023-02-28,7430.01904296875,7432.0,7526.0,7380.0,7450.0,1429146
2023-03-01,7446.01513671875,7448.0,7562.0,7410.0,7414.0,846875
2023-03-02,7422.021484375,7424.0,7484.0,7232.0,7370.0,1777716
2023-03-03,7565.98291015625,7568.0,7660.0,7456.5,7464.0,851288
2023-03-06,7482.005859375,7484.0,7656.0,7422.0,7550.0,505205
2023-03-07,7444.015625,7446.0,7558.0,7430.0,7498.0,904828
2023-03-08,7460.01123046875,7462.0,7570.0,7250.0,7342.0,7750219
2023-03-09,7384.03125,7386.0,7516.0,7380.0,7496.0,4532601
2023-03-10,7360.03857421875,7362.0,7442.0,7302.0,7370.0,5322507
2023-03-13,7292.056640625,7294.0,7472.0,7250.0,7450.0,12376183
2023-03-14,7304.05322265625,7306.0,7354.0,7142.0,7282.0,1450668
2023-03-15,7204.0791015625,7206.0,7472.0,7192.0,7304.0,1148799
2023-03-16,7324.0478515625,7326.0,7363.30810546875,7272.0,7272.0,2223339
2023-03-17,7468.00927734375,7470.0,7544.0,7374.0,7496.0,3117905
2023-03-20,7513.9970703125,7516.0,7574.0,7378.0,7416.0,1752733
2023-03-21,7737.93701171875,7740.0,7740.0,7510.0,7516.0,1071731
2023-03-22,7679.95263671875,7682.0,7772.0,7670.0,7756.0,3814922
2023-03-23,7777.92626953125,7780.0,7780.0,7684.0,7694.0,920195
2023-03-24,7747.9345703125,7750.0,7820.0,7716.0,7760.0,1624708
2023-03-27,7799.92041015625,7802.0,7846.0,7736.01611328125,7786.0,882327
2023-03-28,7791.92333984375,7794.0,7848.0,7762.0,7848.0,2241503
2023-03-29,7861.904296875,7864.0,7874.0,7786.0,7786.0,1429615
2023-03-30,7825.9140625,7828.0,7908.0,7772.0,7906.0,1251125
2023-03-31,7865.90283203125,7868.0,8893.8603515625,7826.0,7836.0,1260966
2023-04-03,7737.93701171875,7740.0,7900.0,7706.0,7880.0,890254
2023-04-04,7849.9072265625,7852.0,7880.0,7748.0,7776.0,1383661
2023-04-05,7885.8974609375,7888.0,7976.0,7846.0,7876.0,780347
2023-04-06,8019.861328125,8022.0,8022.0,7860.0,7896.0,689035
2023-04-11,7925.88671875,7928.0,8060.0,7832.0,8048.0,1843801
2023-04-12,7975.87353515625,7978.0,8020.0,7898.0,7906.0,1459663
2023-04-13,8017.86328125,8020.0,8088.0,7962.0,7996.0,685482
2023-04-14,7955.87939453125,7958.0,8062.0,7954.0,8032.0,853438
2023-04-17,7865.90283203125,7868.0,7960.0,7838.0,7914.0,1290742
2023-04-18,7899.89404296875,7902.0,7912.0,7802.0,7912.0,811095
2023-04-19,7927.88671875,7930.0,7952.0,7848.0,7858.0,448612
2023-04-20,7950.6357421875,7952.0,7974.0,7810.0,7838.0,1243867
2023-04-21,8082.61279296875,8084.0,8084.0,7934.0,7948.0,770191
2023-04-24,8030.62109375,8032.0,8080.0,8026.0,8054.0,1100058
2023-04-25,8090.611328125,8092.0,8102.0,7980.0,7990.0,948016
2023-04-26,7984.6298828125,7986.0,8066.0,7950.0,8050.0,1312155
2023-04-27,8082.61279296875,8084.0,8112.0,7952.0,7964.0,1454446
2023-04-28,8344.568359375,8346.0,8346.0,8110.0,8110.0,4000407
2023-05-02,8368.564453125,8370.0,8438.0,8290.0,8380.0,2440506
2023-05-03,8316.572265625,8318.0,8426.0,8268.0,8404.0,1155119
2023-05-04,8368.564453125,8370.0,8400.0,8282.0,8344.0,762259
2023-05-05,8356.56640625,8358.0,8466.0,8316.0,8412.0,466038
2023-05-09,8378.5625,8380.0,8414.0,8316.0,8390.0,791846
2023-05-10,8456.548828125,8458.0,8460.0,8380.0,8402.0,656365
2023-05-11,8502.541015625,8504.0,8584.4267578125,8470.0,8488.0,1381780
2023-05-12,8552.5322265625,8554.0,8592.0,8506.0,8526.0,750842
2023-05-15,8454.548828125,8456.0,8576.0,8426.0,8542.0,557223
2023-05-16,8470.546875,8472.0,8502.712890625,8436.0,8436.0,420787
2023-05-17,8242.5859375,8244.0,8292.0,8038.0,8100.0,8360282
2023-05-18,8362.564453125,8364.0,8406.0,8260.677734375,8300.0,2805555
2023-05-19,8434.552734375,8436.0,8436.0,8326.0,8398.0,5323668
2023-05-22,8470.546875,8472.0,8482.0,8400.0,8460.0,7560767
2023-05-23,8476.544921875,8478.0,8562.0,8434.0,8482.0,2456213
2023-05-24,8300.5751953125,8302.0,8474.0,8236.0,8474.0,2320779
2023-05-25,8336.5703125,8338.0,8340.0,8214.0,8234.0,1171173
2023-05-26,8482.544921875,8484.0,8500.0,8320.0,8342.0,1364057
2023-05-30,8478.544921875,8480.0,8518.0,8452.0,8498.0,1044160
2023-05-31,8548.533203125,8550.0,8576.0,8428.0,8434.0,3352290
2023-06-01,8456.548828125,8458.0,8618.0,8450.0,8506.0,1240308
2023-06-02,8492.54296875,8494.0,8564.0,8446.0,8470.0,3299925
2023-06-05,8660.513671875,8662.0,8662.0,8466.0,8496.0,1636322
2023-06-06,8772.4951171875,8774.0,8818.0,8628.0,8628.0,1909302
2023-06-07,8740.5,8742.0,8802.0,8698.0,8760.0,1639588
2023-06-08,8738.5,8740.0,8764.0,8636.0,8704.0,1483961
2023-06-09,8648.5166015625,8650.0,8758.0,8620.599609375,8748.0,1586689
2023-06-12,8676.5107421875,8678.0,8758.0,8648.0,8706.0,900016
2023-06-13,8700.5068359375,8702.0,8784.0,8678.0,8698.0,791279
2023-06-14,8656.513671875,8658.0,8704.0,8606.0,8680.0,1573032
2023-06-15,8764.4951171875,8766.0,8794.0,8629.0,8666.0,769408
2023-06-16,8718.50390625,8720.0,8804.2001953125,8719.1279296875,8762.0,3098371
2023-06-19,8644.5166015625,8646.0,8730.0,8646.0,8730.0,707898
2023-06-20,8634.517578125,8636.0,8672.0,8604.0,8624.0,1276522
2023-06-21,8538.5341796875,8540.0,8680.0,8536.5,8602.0,1523627
2023-06-22,8444.55078125,8446.0,8508.0,8390.0,8498.0,1101975
2023-06-23,8420.5546875,8422.0,8462.0,8342.0,8402.0,1028876
2023-06-26,8412.556640625,8414.0,8464.0,8366.0,8440.0,1210754
2023-06-27,8356.56640625,8358.0,8388.0,8316.0,8366.0,847622
2023-06-28,8388.560546875,8390.0,8446.0,8368.0,8420.0,950657
2023-06-29,8318.572265625,8320.0,8418.0,8266.0,8396.0,1157071
2023-06-30,8364.564453125,8366.0,8414.0,8332.0,8372.0,2256357
2023-07-03,8250.583984375,8252.0,8360.0,8248.0,8338.0,1433368
2023-07-04,8238.5859375,8240.0,8360.0,8224.0,8278.0,513250
2023-07-05,8202.5927734375,8204.0,8242.0,8164.0,8176.0,1059205
2023-07-06,8084.61279296875,8086.0,8214.0,8046.0,8170.0,1170466
2023-07-07,8088.61181640625,8090.0,8090.0,7968.0,8026.0,1439188
2023-07-10,8078.61328125,8080.0,8148.0,8054.0,8110.0,812970
2023-07-11,8002.62646484375,8004.0,8120.0,7984.0,8120.0,1362388
2023-07-12,7984.6298828125,7986.0,8078.0,7976.0,8024.0,1065892
2023-07-13,8090.611328125,8092.0,8108.0,7970.0,8018.0,862736
2023-07-14,8288.578125,8290.0,8318.0,8070.0,8070.0,1268546
2023-07-17,8298.5751953125,8300.0,8322.0,8236.0,8250.0,917876
2023-07-18,8306.57421875,8308.0,8344.0,8266.0,8344.0,1099189
2023-07-19,8398.55859375,8400.0,8454.0,8336.0,8352.0,1183715
2023-07-20,8420.5546875,8422.0,8453.357421875,8354.0,8384.0,2150632
2023-07-21,8310.57421875,8312.0,8434.0,8300.0,8426.0,2212917
2023-07-24,8344.568359375,8346.0,8406.0,8300.0,8300.0,1724106
2023-07-25,8396.55859375,8398.0,8418.0,8270.0,8328.0,2226939
2023-07-26,8466.546875,8468.0,8468.0,8372.0,8416.0,692070
2023-07-27,8474.544921875,8476.0,8558.0,8430.0,8484.0,1072747
2023-07-28,8526.537109375,8528.0,8564.0,8454.400390625,8464.0,411578
2023-07-31,8460.5478515625,8462.0,8542.0,8450.0,8518.0,549179
2023-08-01,8344.568359375,8346.0,8484.0,8278.0,8448.0,696020
2023-08-02,8284.578125,8286.0,8310.0,8176.0,8248.0,579478
2023-08-03,8186.5947265625,8188.0,8210.0,7784.0,7916.0,2442654
2023-08-04,8136.60400390625,8138.0,8216.0,8040.0,8140.0,1028934
2023-08-07,8204.5908203125,8206.0,8218.0,8100.0,8100.0,1037677
2023-08-08,8272.580078125,8274.0,8356.0,8204.0,8204.0,941798
2023-08-09,8252.5830078125,8254.0,8350.0,8200.0,8344.0,1347162
2023-08-10,8352.56640625,8354.0,8362.0,8270.0,8282.0,766971
2023-08-11,8268.58203125,8270.0,8339.0322265625,8246.0,8332.0,1203704
